"%s was successfully added to your shopping cart.","«%s» успішно додано до кошика."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Клацніть <a href=""%s"" onclick=""this.target='_blank'"">тут, щоб надрукувати</a> квитанцію про підтвердження вашого замовлення."
"Close","Закрити"
"Company","Підприємство"
"Condition Name","Назва умови"
"Condition was successfully deleted","Умову успішно видалено"
"Condition was successfully saved","Умову успішно збережено"
"Configurable product image","Зображення виробу із змінюваною конфігурацією"
"Confirm Password","Наберіть пароль ще раз"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Продовжити"
"Continue Shopping","Продовжити покупки"
"Continue to Billing Information","Перейти до даних про платника"
"Continue to Review Your Order","Перейти до перегляду вашого замовлення"
"Continue to Shipping Information","Перейти до даних про отримувача"
"Country","Країна"
"Coupon code ""%s"" is not valid.","Код купона ""%s"" не дійсний."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Код сертифікату був успішно відмінений."
"Create Billing Address","Створити адресу платника"
"Create Shipping Address","Створити адресу отримувача"
"Customer Address is not valid.","Адреса покупця не дійсна."
"Data saving problem","Під час збереження даних сталася помилка"
"Default Billing","Платник за промовчанням"
"Default Shipping","Отримувач за промовчанням"
"Delete Condition","Видалити умову"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Коди знижок"
"Display Cart Summary","Показувати суму до сплати у кошику"
"Display Shopping Cart Sidebar","Показувати бічну колонку у кошику"
"Display item quantities","Показувати кількість речей"
"Display number of items in cart","Показувати кількість речей у кошику"
"Easy access to your order history and status","Простий доступ до історії та стану ваших замовлень"
"Edit","Редагувати"
"Edit Address","Редагувати адресу"
"Edit Billing Address","Редагувати адресу платника"
"Edit Items","Редагувати речі"
"Edit Shipping Address","Редагувати адресу отримувача"
"Edit Terms and Conditions","Редагувати умови надання послуг"
"Edit Your Cart","Відредагувати кошик"
"Email Address","Електропошта"
"Enable Terms and�Conditions","Уможливити умови надання послуг"
"Enabled","Уможливлено"
"Enter a New Address","Вкажіть нову адресу"
"Enter your coupon code if you have one.","Вкажіть код купона, якщо маєте."
"Enter your destination to get a shipping estimate.","Вкажіть місце доставки для отримання розрахунку."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Попередня оцінка вартості доставки та суми податку"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Швидке та просте подавання замовлення"
"Fax","Факс"
"Forgot an Item?","Щось забули покласти?"
"Forgot your password?","Забули пароль?"
"Get a Quote","Отримайте торгову ціну"
"Grand Total:","Разом:"
"Grouped product image","Зображення виробу, об’єднаного у групу"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Включаючи податок"
"Invalid data","Невірні дані"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Невірний спосіб доставки."
"Items","Речі"
"Load customer quote error","Помилка при завантажені загальної вартості замовлення клієнта"
"Loading next step...","Завантаження наступного кроку..."
"Login","Вхід в систему"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальна кількість дозволена для доставки по кільком адресам становить %s"
"Move to Wishlist","Перенести до скриньки бажань"
"My Account","Обліковий запис"
"My Cart","Кошик"
"My Cart (%s item)","Кошик (%s од.)"
"My Cart (%s items)","Кошик (%s од.)"
"My Cart Link","Лінк на мій кошик"
"New Address","Нова адреса"
"New Condition","Нова умова"
"Order #","Замовлення №"
"Order Review","Огляд замовлення"
"Order Success","Замовлення здійснено вдало!"
"Other items in your order","Інші вироби у вашому замовленні"
"Password","Пароль"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Платіжні дані"
"Payment Method","Спосіб оплати"
"Payment method is not defined","Спосіб оплати не вказано"
"Place Order","Дати замовлення"
"Please <a href=""%s"">continue shopping</a>.","Будь-ласка, <a href=""%s"">поверніться до каталогу</a>."
"Please agree to all Terms and Conditions before placing the order.","Потрібна ваша згода на умови надання послуг перш ніж дати замовлення."
"Please agree to all Terms and Conditions before placing the orders.","Потрібна ваша згода на умови надання послуг перш ніж дати замовлення."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Вкажіть поштовий індекс правильно. Наприклад, 03127 або 30300."
"Please log in below:","Будь ласка, увійдіть у систему нижче:"
"Please select region, state or province","Будь ласка, виберіть область"
"Please select shipping address for applicable items","Будь ласка, виберіть адресу отримувача для придатних товарів"
"Please select shipping methods for all addresses","Будь-ласка, виберіть способи доставки для всіх адрес"
"Price","Ціна"
"Proceed to Checkout","Подати замовлення"
"Product","Виріб"
"Product Name","Назва виробу"
"Product does not exist","Такого виробу нема"
"Qty","К-сть"
"Quote Lifetime (days)","Термін дійсності торгових цін на вироби у кошику (у днях)"
"Recently added item(s)","Нещодавно доданий крам"
"Register","Реєстрація"
"Register and save time!","Зареєструйтесь, щоб заощаджувати свій час!"
"Register to Create an Account","Зареєструтесь, щоб створити обліковий запис!"
"Register with us for future convenience:","Зареструйтеся на нашому сайті, щоб у майбутньому було зручніше:"
"Remove","Видалити"
"Remove Item","Видалити річ"
"Remove Product","Видалити виріб"
"Remove item","Видалити річ"
"Review Order","Перевірте замовлення"
"Review Order - %s","Перевірте замовлення - %s"
"Sales","Обсяги збуту"
"Save Condition","Зберегти умову"
"Save in address book","Зберегти в адресній книзі"
"Select Address","Виберіть адресу"
"Select Addresses","Виберіть адреси"
"Select Shipping Method","Виберіть метод поставк "
"Select State/Province...","Виберіть область..."
"Select a billing address from your address book or enter a new address.","Виберіть адресу для оплати з Вашої адресної книжки або введіть нову."
"Select a shipping address from your address book or enter a new address.","Виберіть адресу для доставки з Вашої адресної книжки або введіть нову."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Надіслати"
"Ship to Multiple Addresses","Доставити за кількома адресами"
"Ship to different address","Доставити на іншу адресу"
"Ship to this address","Доставити на цю адресу"
"Shipping Address","Адреса отримувача"
"Shipping Information","Дані про доставку"
"Shipping Method","Спосіб доставки"
"Shipping Methods","Методи доставки"
"Shipping method has not been selected yet","Спосіб доставки ще не вибраний"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Доставка до"
"Shopping Cart","Кошик"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Кошик порожній"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Деяких із замовлених вами виробів нема у бажаній кількості."
"Some of the products you requested are unavailable","Деяких із замовлених вами виробів нема у наявності."
"Sorry, Onepage Checkout is disabled.","Перепрошуємо, але можливість дати замовлення на одній сторінці (Onepage Checkout) вимкнено."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Перепрошуємо, але можливість дати замовлення без реєстрації не увімкнено. Будь ласка, спробуйте знову або зв’яжіться з власником крамниці."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Область"
"Status","Стан"
"Store View","Вітрина крамниці"
"Street Address","Вулиця"
"Street Address ","Вулиця (додатково)"
"Submitting order information...","Дані про замовлення відсилаються..."
"Subtotal","Загалом"
"Telephone","Телефон"
"Terms and Conditions","Умови надання послуг"
"Terms and Conditions Information","Дані про умови надання послуг"
"Terms and conditions","Умови надання послуг"
"Text","Текст"
"Thank you for your purchase!","Дякуємо за покупку!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","У вашому кошику <a href=""%s""><strong>%s речі(-ей)</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","У вашому кошику <a href=""%s""><strong>1 річ</strong></a>."
"There is already a customer registered using this email address","В системі вже існує зареєстрований клієнт з даною email адресою"
"There was an error processing your order. Please contact us or try again later.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, зконтактуйтесь з нами або спробуйте пізніше ще раз."
"This condition no longer exists","Такої умови більше нема"
"Total","Разом"
"Total for this address","Разом за цією адресою"
"Unit Price","Ціна за одиницю"
"Update Qty &amp; Addresses","Оновити к-сть та адреси"
"Update Shopping Cart","Перерахувати"
"Update Total","Оновити загальну суму замовлення"
"Use Billing Address","Використати адресу платника"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Ми обробляємо Ваше замовлення і невдовзі Ви отримаєте email з деталями замовлення. Після відправки замовлення Ви отримаєте ще один email з посиланням для відслідковування його шляху."
"You have no items in your shopping cart.","У вашому кошику нічого нема."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ви отримаєте email для підтвердження замовлення зі всією детальнішою інформацією та посиланням для відслідковування його шляху."
"Your Checkout Progress","Відбувається виконання вашого замовлення"
"Your order # is: %s","Номер вашого замовлення: %s"
"Your order # is: <a href=""%s"">%s</a>","Номер вашого замовлення: <a href=""%s"">%s</a>"
"Your order has been received","Ваше замовлення отримано"
"Your order number is ","Вашому замовленню надано номер "
"Zip/Postal Code","Поштовий індекс"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Кошик"
"You have no items in your shopping cart.","У вашому кошику нічого нема."
"Checkout","Дати замовлення"
"Shopping Cart is Empty","Кошик порожній"
"Please <a href=""%s"">continue shopping</a>.","Будь ласка, <a href=""%s"">поверніться до каталогу</a>."
